round,cid,n_k,rank,seed,lr,steps,applied,skipped,nonfinite,sec,vram_gb,loss,gnorm
1,0,3352748,1,42010133,0.001,6549,6546,3,0,55.64928707800004,6.835906505584717,0.25050375915396805,1.0172200073279483
1,1,1783872,1,42010134,0.001,3485,3484,1,0,32.13300333699999,6.764886379241943,0.23196652890894087,1.03724398870282
1,2,2652819,1,42010135,0.001,5182,5180,2,0,46.01159259999997,6.803313255310059,0.16370641052953064,0.7787386507601352
1,3,1455566,1,42010136,0.001,2843,2842,1,0,23.000289596000016,6.772463798522949,0.4158315316293543,1.7208592994040288
1,4,1864534,1,42010137,0.001,3642,3640,2,0,28.693808260000083,6.768101692199707,0.46749066363324177,1.7275684398609203
1,5,1932238,0,42010138,0.001,3774,3773,1,0,31.90002786299999,6.775141716003418,0.3306896736474622,1.3848128613255366
1,6,3372587,1,42010139,0.001,6588,6584,4,0,56.04047286499997,6.827610492706299,0.24520213983473194,1.408623177399757
1,7,1472203,0,42010140,0.001,2876,2874,2,0,32.538859613,6.751810073852539,0.5124860430394268,1.6677405796037752
1,8,2845626,1,42010141,0.001,5558,5555,3,0,38.201946401999976,6.812270164489746,0.27994304557408867,1.470067788028803
1,9,1240841,0,42010142,0.001,2424,2422,2,0,22.712569343999917,6.743367671966553,0.36615968006489985,1.4838998229123659
1,10,2671366,0,42010143,0.001,5218,5216,2,0,43.37634725099997,6.803866386413574,0.3383281216299607,1.2482825905267447
1,11,1851046,0,42010144,0.001,3616,3615,1,0,36.457141234999995,6.766624927520752,0.2468638735358316,1.1493091124221992
1,12,1495960,1,42010145,0.001,2922,2922,0,0,30.037762926000028,6.763073921203613,0.3665904750732589,1.4600204269336072
1,13,1779645,0,42010146,0.001,3476,3475,1,0,30.131954966999956,6.772190570831299,0.2783606571773831,1.1394149758318346
1,14,3063594,0,42010147,0.001,5984,5982,2,0,48.34806181700003,6.823249340057373,0.11188979740327754,0.5675667546258567
1,15,1212957,1,42010148,0.001,2370,2369,1,0,19.08414282399997,6.737883567810059,0.5117287464713487,2.058050024403757
1,16,870217,0,42010149,0.001,1700,1699,1,0,16.06434900900001,6.744558811187744,0.4413683140818128,1.8472485825761478
1,17,5890990,0,42010150,0.001,11506,11502,4,0,85.258849973,6.940572738647461,0.1420094929991795,0.6164952375809641
1,18,1063458,0,42010151,0.001,2078,2078,0,0,15.859244965000016,6.731150150299072,0.31707340714103105,1.3216362403377646
1,19,1173148,1,42010152,0.001,2292,2291,1,0,26.21518396299996,6.736090660095215,0.2975343182221192,1.154827888851757
2,0,3352748,1,42020140,0.0009989829694114164,6549,6547,2,0,43.25171450899995,6.83604621887207,0.2081215111047999,0.9739245730391782
2,1,1783872,1,42020141,0.0009989829694114164,3485,3485,0,0,21.774880404999976,6.763737678527832,0.17685744779523851,0.9350836733321377
2,2,2652819,1,42020142,0.0009989829694114164,5182,5181,1,0,32.829092446999994,6.8028788566589355,0.12645917729368727,0.7150680521376183
2,3,1455566,0,42020143,0.0009989829694114164,2843,2842,1,0,17.571042313000135,6.748951435089111,0.31668496719134853,1.517630526752727
2,4,1864534,1,42020144,0.0009989829694114164,3642,3639,3,0,22.772089453000035,6.7673726081848145,0.3538267214765389,1.7531004987204588
2,5,1932238,0,42020145,0.0009989829694114164,3774,3773,1,0,24.078188182000076,6.770422458648682,0.2662510430815995,1.274553700843162
2,6,3372587,1,42020146,0.0009989829694114164,6588,6584,4,0,45.11561205599992,6.828413963317871,0.19503307690162705,1.2599221063847965
2,7,1472203,1,42020147,0.0009989829694114164,2876,2874,2,0,28.605615888000102,6.749701023101807,0.40541508833235473,1.7162684982820111
2,8,2845626,1,42020148,0.0009989829694114164,5558,5554,4,0,38.450264242,6.811561584472656,0.21267672721799605,1.294826223217501
2,9,1240841,0,42020149,0.0009989829694114164,2424,2422,2,0,15.098960389000013,6.7392802238464355,0.25497716246903385,1.5692746503406276
2,10,2671366,0,42020150,0.0009989829694114164,5218,5217,1,0,34.58865509599991,6.803714275360107,0.2838726983299789,1.18491717282442
2,11,1851046,0,42020151,0.0009989829694114164,3616,3615,1,0,22.873811369999885,6.7667646408081055,0.1891512246877161,1.0349431081431535
2,12,1495960,1,42020152,0.0009989829694114164,2922,2921,1,0,17.735022106000088,6.7507710456848145,0.2849620073390962,1.3977616625834475
2,13,1779645,0,42020153,0.0009989829694114164,3476,3475,1,0,21.39039741900001,6.763546943664551,0.21108431809240108,1.0914632981115109
2,14,3063594,0,42020154,0.0009989829694114164,5984,5982,2,0,40.786570755999946,6.821379661560059,0.08588289281908225,0.5287254586023696
2,15,1212957,1,42020155,0.0009989829694114164,2370,2369,1,0,14.59505427199997,6.738023281097412,0.3707537153895367,1.9289733191088012
