benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
28108494,112418,14937740,4208338,15586156,524882,103686,24127824,21921,173092,2697715,98841,165017,27871835,711250,107591
41657,7586739,6701,18738,8954,16327,65959,23073,176,29872,8810,3318,2,25806,36679,1689
954832,3385,17487270,127265,414700,20624,3676,1326024,798844,5295,103310,3438,5887,753439,112885,2876
746040,8178,121068,16957501,177823,76436,11391,1295856,75062,1015346,186496,148502,1872,537433,130691,169155
2222521,7986,895280,256454,15873751,36144,10889,1451816,222996,132729,333111,13809,171527,1789515,310882,41090
102183,6655,16583,48196,20101,78210683,9684,56052,767,12322,17340,1268,252,57031,142553,2830
33449,36016,4720,16040,7802,14254,5707868,14359,217,21979,8063,764,7,26133,38432,147
4516679,24004,3049827,1808166,2131768,84652,21237,6548153,149601,48906,480123,44497,23931,4234584,164312,22010
18232,614,261437,37112,129318,11407,1383,33850,22732049,16371,33091,11435,1730,8135,190939,26847
91977,42801,8026,311610,80068,40102,80593,42566,4913,25943879,30574,100003,19252,47561,220744,43481
106328,4432,23180,84891,94611,21897,7227,90699,48259,14757,12773030,989,127,60802,167739,982
14455,1349,1606,54404,6395,4937,1288,11189,2140,55568,2136,1921280,431,8188,10928,791556
339723,155,252158,109319,989446,3552,20,297564,2193,70209,44909,5428,7941725,343100,22586,150163
5671752,23706,2891059,906060,3211949,121770,21092,4773458,26217,64952,574503,24259,55466,5964012,169583,28862
3265992,125074,1099514,1237484,9241276,1153895,216814,1470233,2791237,3069160,2233787,10675,464466,1849362,90941016,496765
17669,1049,1090,40057,10808,8684,1361,8552,6345,39518,1329,1651333,46812,9348,24806,11449189
