benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
356147,1633,316376,40344,292871,20267,2266,659472,221,5080,30628,131,1204,654510,9060,926
376,153078,80,280,102,633,1280,466,5,368,123,7,0,249,419,24
7629,33,385483,690,6187,785,65,23359,4868,161,624,5,27,11146,1397,16
3165,86,1047,388043,1691,2916,248,19169,547,9273,706,540,17,3044,1713,972
22009,97,20374,2773,356450,1141,208,29405,1204,2618,4558,111,481,27510,5687,784
1233,81,254,794,389,1566637,200,1083,7,380,301,7,4,798,1884,38
293,473,32,301,128,541,115384,245,4,303,131,0,0,248,520,2
48266,332,59592,28871,35656,3275,472,194883,2285,1014,5583,201,118,84009,2275,217
130,4,4680,682,1311,335,36,564,458005,412,513,65,46,92,2991,413
722,485,98,5639,962,1244,1030,617,43,524409,498,1452,111,579,3530,744
835,40,258,713,1515,690,203,1110,244,405,260901,4,1,516,2554,10
143,18,18,1196,53,172,24,183,29,552,47,36715,2,86,153,18366
2099,1,8298,602,21802,112,0,5019,24,1437,34,1,163519,5728,206,2563
71125,368,57398,9686,60433,4367,446,129109,416,1677,6432,83,497,146054,2212,271
18265,1375,22691,25106,187826,38109,4747,17745,40167,70123,40577,14,4642,28472,1885876,7600
79,6,14,677,62,290,19,124,49,635,9,6889,616,79,241,256570
