round,evaluated,lr,accuracy,accuracy_std,accuracy_min,accuracy_max,precision_macro,precision_macro_std,precision_macro_min,precision_macro_max,precision_micro,precision_micro_std,precision_micro_min,precision_micro_max,precision_weighted,precision_weighted_std,precision_weighted_min,precision_weighted_max,recall_macro,recall_macro_std,recall_macro_min,recall_macro_max,recall_micro,recall_micro_std,recall_micro_min,recall_micro_max,recall_weighted,recall_weighted_std,recall_weighted_min,recall_weighted_max,f1_macro,f1_macro_std,f1_macro_min,f1_macro_max,f1_micro,f1_micro_std,f1_micro_min,f1_micro_max,f1_weighted,f1_weighted_std,f1_weighted_min,f1_weighted_max,global_accuracy,global_precision_macro,global_precision_micro,global_precision_weighted,global_recall_macro,global_recall_micro,global_recall_weighted,global_f1_macro,global_f1_micro,global_f1_weighted,loss_client_mean,ce_client_mean,kd_client_mean,gnorm_client_mean,n_selected,tau,n_selected_next,select_metric,comm_down_mib,comm_up_mib,comm_saving,steps,skipped,train_sec,eval_sec,vram_train_gb,vram_eval_gb,backend,seconds
1,50,0.001,0.512738755748237,0.09687544951913886,0.25800841028856714,0.6938020654113525,0.5302318336341362,0.07736233828128754,0.39464966533707296,0.6593613113516772,0.512738755748237,0.09687544951913886,0.25800841028856714,0.6938020654113525,0.63326675402402,0.07583363925253368,0.40774617784613343,0.7183725464221125,0.48515591352481763,0.07183042266994222,0.3407245260361038,0.6337925578636141,0.512738755748237,0.09687544951913886,0.25800841028856714,0.6938020654113525,0.512738755748237,0.09687544951913886,0.25800841028856714,0.6938020654113525,0.42555390231568646,0.07544946062635852,0.27119724220917063,0.5945206790817736,0.512738755748237,0.09687544951913886,0.25800841028856714,0.6938020654113525,0.4969067860165399,0.10003408464961051,0.2468200869848693,0.6609708217968069,0.4717643513453665,0.44174843735330954,0.4717643513453665,0.580339982755397,0.27965617021857514,0.4717643513453665,0.47176435134536643,0.22217603272166936,0.4717643513453665,0.3853870921151883,1.3052053425330292,0.8205355485212692,0.48466980212453586,0.5331419368750206,50,0.512738755748237,22,accuracy,75.97332000732422,75.97332000732422,0.0,84098,0,450.40087423400007,747.6254189829999,7.100701332092285,7.182234287261963,compiled,1199.461998847
2,50,0.0009989829694114164,0.5221511831748138,0.08096432308332006,0.3418879966933495,0.6801715176256347,0.5573733856835001,0.07571074678114297,0.40922072316975605,0.6908553534243911,0.5221511831748138,0.08096432308332006,0.3418879966933495,0.6801715176256347,0.6457070639196547,0.07662043145078179,0.41234212943213855,0.7361362120513172,0.5044130837988684,0.06361641193572942,0.35993576410675493,0.6412202680953148,0.5221511831748138,0.08096432308332006,0.3418879966933495,0.6801715176256347,0.5221511831748138,0.08096432308332008,0.3418879966933495,0.6801715176256347,0.44564148877714205,0.0656033003619117,0.2964400557762434,0.5993294507298856,0.5221511831748138,0.08096432308332006,0.3418879966933495,0.6801715176256347,0.5088397620631764,0.08690090000449463,0.3146654944002516,0.6472547095609908,0.7150071324740788,0.6818428134561428,0.7150071324740788,0.7202348633127951,0.5797066375986426,0.7150071324740788,0.7150071324740788,0.5852976357941526,0.7150071324740788,0.698452924098263,0.5563428865576436,0.3918154631578355,0.16452740081144057,0.5811291910926955,22,0.5221511831748138,22,accuracy,33.428260803222656,33.428260803222656,0.56,84098,3,392.20585225700006,742.7625494319996,7.174190521240234,7.1641845703125,compiled,1136.443961734
3,50,0.0009959360568425068,0.5217655658777907,0.07185877355163707,0.3492494384762199,0.6714968568514171,0.5711631750522602,0.06606682923523796,0.4078935454229712,0.6982673510297052,0.5217655658777907,0.07185877355163707,0.3492494384762199,0.6714968568514171,0.6491186866806652,0.0738432134460698,0.413875148221724,0.738485496237635,0.5127717680467477,0.056827856522880305,0.37788904716604754,0.6354109813823212,0.5217655658777907,0.07185877355163707,0.3492494384762199,0.6714968568514171,0.5217655658777907,0.07185877355163708,0.3492494384762199,0.6714968568514172,0.45306266659567546,0.05898581191162488,0.2994089215589585,0.5918734145994557,0.5217655658777907,0.07185877355163707,0.3492494384762199,0.6714968568514171,0.5087441225048974,0.07888428646747543,0.3177500154709794,0.6437750631918441,0.6385910197268129,0.6815643639651146,0.6385910197268129,0.720661401486174,0.6739409044639576,0.6385910197268129,0.638591019726813,0.6541404539586955,0.6385910197268129,0.6551567255041748,0.3066256888646272,0.21626094951401076,0.09036476393436399,0.5705591253465024,22,0.5217655658777907,21,accuracy,33.428260803222656,33.428260803222656,0.56,84098,11,369.62739463299977,733.6341177479999,7.151453018188477,7.163691520690918,compiled,1104.9978155009999
4,50,0.0009908717827105773,0.5238001799589513,0.06789814679839151,0.3606898321148206,0.6711395594397465,0.5809105769549303,0.06178588460691158,0.4065756443711404,0.7165946013706742,0.5238001799589513,0.06789814679839151,0.3606898321148206,0.6711395594397465,0.6563226877686111,0.07254784572166023,0.4112133376258554,0.7687230675108194,0.5207775946072125,0.05248113054337638,0.38252606367034336,0.6416626352452608,0.5238001799589513,0.06789814679839151,0.3606898321148206,0.6711395594397465,0.5238001799589513,0.06789814679839151,0.3606898321148206,0.6711395594397465,0.45986104483566054,0.05510140915828453,0.3062692455025734,0.5886802466193997,0.5238001799589513,0.06789814679839151,0.3606898321148206,0.6711395594397465,0.5100570891921768,0.07744608300244178,0.29965683736292786,0.6437163028140167,0.5882704417097383,0.6737400580037629,0.5882704417097383,0.7132479440840231,0.6908901008626929,0.5882704417097383,0.5882704417097383,0.6504421723358965,0.5882704417097383,0.6004380310868008,0.19342240406606856,0.13353577705647077,0.05988660493885135,0.5509313270743631,21,0.5238001799589513,20,accuracy,31.908794403076172,31.908794403076172,0.5800000000000001,84098,9,360.40154119299996,737.1823100539996,6.957678318023682,7.1641845703125,compiled,1099.115368055
5,50,0.0009838109572043196,0.522758670548834,0.0625217820521725,0.3836373396889217,0.6653248576873723,0.5817922890438357,0.055809234391196984,0.46061334648905977,0.6917764959542247,0.522758670548834,0.0625217820521725,0.3836373396889217,0.6653248576873723,0.6559729313442212,0.06759834756045244,0.40872317154097704,0.7309407113470601,0.5246589885558203,0.05220215760056391,0.38841801069412113,0.640761741093835,0.522758670548834,0.0625217820521725,0.3836373396889217,0.6653248576873723,0.522758670548834,0.0625217820521725,0.3836373396889217,0.6653248576873723,0.4622522606785994,0.052773531872124926,0.3176251800586981,0.5901158520156451,0.522758670548834,0.0625217820521725,0.3836373396889217,0.6653248576873723,0.5092443767235697,0.07175688540413874,0.31014655376439837,0.6415128302224107,0.5743693886534422,0.6514576700802743,0.5743693886534422,0.7009064442524394,0.6949149856652733,0.5743693886534422,0.5743693886534422,0.6384828312009283,0.5743693886534422,0.5808837125461974,0.13280520564068593,0.08945437510915893,0.04335083288041155,0.5237109627490065,20,0.522758670548834,22,accuracy,30.389328002929688,30.389328002929688,0.6,84098,13,350.4537200980003,737.0447726040002,6.957276821136475,7.1641845703125,compiled,1089.1017091439999
6,50,0.000974782594770281,0.5221101474044643,0.06225306269829813,0.3821001709544989,0.6497820021162786,0.5832066244235117,0.05384891432430645,0.46530729597180376,0.6889652478264916,0.5221101474044643,0.06225306269829813,0.3821001709544989,0.6497820021162786,0.6622953727985426,0.05955379290853944,0.39842130096524553,0.760837886314635,0.5314157465706209,0.04972107850935488,0.3961112105904653,0.6268234484935766,0.5221101474044643,0.06225306269829813,0.3821001709544989,0.6497820021162786,0.5221101474044643,0.06225306269829814,0.3821001709544989,0.6497820021162786,0.46637122742707987,0.050012384896594146,0.3248024336629062,0.5766679162427673,0.5221101474044643,0.06225306269829813,0.3821001709544989,0.6497820021162786,0.5083275036077324,0.07317403352382293,0.3234541825065122,0.626626582302128,0.5833940986733719,0.6607907774044791,0.5833940986733719,0.7103269939693728,0.7050340014289467,0.5833940986733719,0.5833940986733719,0.6485556439226483,0.5833940986733719,0.587139286894792,0.10405729561869126,0.06780689206677992,0.036250417416877755,0.526606817481169,22,0.5221101474044643,19,accuracy,33.428260803222656,33.428260803222656,0.56,84098,16,349.56563769900004,736.9697982320004,6.957276821136475,7.1641845703125,compiled,1088.1341722460002
7,50,0.0009638237948862808,0.5172614514749693,0.059203724950418146,0.38066782185086007,0.6393318194578502,0.5859724315344355,0.052618390896047494,0.459679091759925,0.678464538299653,0.5172614514749693,0.059203724950418146,0.38066782185086007,0.6393318194578502,0.6688347585516188,0.030575531731169787,0.5657986400815719,0.741943656245426,0.5321996018624766,0.047787457351203405,0.39337205611100134,0.6173086821224567,0.5172614514749693,0.059203724950418146,0.38066782185086007,0.6393318194578502,0.5172614514749693,0.05920372495041817,0.38066782185086,0.6393318194578503,0.46605226691353985,0.0486294419444352,0.3285190958600779,0.5769137670156766,0.5172614514749693,0.059203724950418146,0.38066782185086007,0.6393318194578502,0.5034715357881994,0.0716439084940287,0.3174545299355823,0.6206985941537704,0.5628432250509997,0.6456975449880356,0.5628432250509997,0.6976415534453946,0.697884566166376,0.5628432250509997,0.5628432250509996,0.6345128632851755,0.5628432250509997,0.5631898886698004,0.08106304021929565,0.05183813617501142,0.02922490454262299,0.49621828662003387,19,0.5172614514749693,21,accuracy,28.869861602783203,28.869861602783203,0.62,84098,14,349.6761559590004,728.6061924109999,6.957276821136475,7.1641845703125,compiled,1079.808903569
8,50,0.0009509795896116975,0.5166971575945493,0.05684010932970221,0.3839422272852004,0.6283471310225871,0.5848982078499254,0.04860989022366482,0.47340252899054214,0.6820105175374007,0.5166971575945493,0.05684010932970221,0.3839422272852004,0.6283471310225871,0.6637240654520232,0.04399661143333407,0.4441419257992958,0.7317034380683722,0.533582144639352,0.0506915276350267,0.3957104588320637,0.6205157680809162,0.5166971575945493,0.05684010932970221,0.3839422272852004,0.6283471310225871,0.5166971575945493,0.05684010932970221,0.38394222728520033,0.628347131022587,0.46685241697574426,0.04930686657426099,0.32002040481443533,0.5701355541157391,0.5166971575945493,0.05684010932970221,0.3839422272852004,0.6283471310225871,0.5029017220558116,0.06866167300429597,0.30554289005252877,0.6066404977505928,0.5605200020109015,0.6536646222529512,0.5605200020109015,0.7034931503188913,0.702835118266176,0.5605200020109015,0.5605200020109015,0.638459984525445,0.5605200020109015,0.5567259904677003,0.0732945986821191,0.04564711163410404,0.02764749043249048,0.5050975438153235,21,0.5166971575945493,22,accuracy,31.908794403076172,31.908794403076172,0.5800000000000001,84098,19,354.15148011699966,730.7164653399996,6.957276821136475,7.163691520690918,compiled,1086.6371900229988
9,50,0.0009363027585410778,0.5108786273237458,0.05634609535237825,0.386414316503061,0.6320272479001924,0.5882744662877356,0.04535688792707642,0.4878916425140747,0.6861554620342747,0.5108786273237458,0.05634609535237825,0.386414316503061,0.6320272479001924,0.669258459298834,0.030006565380657796,0.5628894372627957,0.7243066855830919,0.5335222750219125,0.05099423282558976,0.40286198122310446,0.6149528025790159,0.5108786273237458,0.05634609535237825,0.386414316503061,0.6320272479001924,0.5108786273237458,0.05634609535237824,0.386414316503061,0.6320272479001924,0.465802535281427,0.04871744700061638,0.3417900325336998,0.5558456332316792,0.5108786273237458,0.05634609535237825,0.386414316503061,0.6320272479001924,0.49701128559370467,0.06908564092617538,0.3094806864208669,0.6120471749478057,0.5540044583654661,0.6419835192944827,0.5540044583654661,0.6948881843398786,0.7040605459264722,0.5540044583654661,0.5540044583654661,0.6298194682835404,0.5540044583654661,0.5394242085423182,0.06727123007504998,0.041351244312330095,0.02591998402880429,0.49377835441781387,22,0.5108786273237458,19,accuracy,33.428260803222656,33.428260803222656,0.56,84098,12,368.8410112579986,729.9924993649984,6.957678318023682,7.1641845703125,compiled,1100.4528700679984
10,50,0.0009198536119214611,0.5112897748914796,0.05390731559332937,0.3880439458160566,0.6115102919774976,0.5847747203042125,0.0449036356903631,0.47820778116665974,0.6723369574567717,0.5112897748914796,0.05390731559332937,0.3880439458160566,0.6115102919774976,0.6669956388648899,0.025413226049522272,0.5859388901852327,0.7134308226792401,0.5355986747317408,0.049025870112469304,0.4133011630015655,0.6104294603558661,0.5112897748914796,0.05390731559332937,0.3880439458160566,0.6115102919774976,0.5112897748914796,0.05390731559332938,0.3880439458160566,0.6115102919774976,0.46598841663520085,0.04625467612190544,0.3653029889964479,0.5581681204124704,0.5112897748914796,0.05390731559332937,0.3880439458160566,0.6115102919774976,0.49800679550528804,0.06752915431455549,0.32412983437395293,0.6010968619437291,0.5486249253462138,0.6436781989237145,0.5486249253462138,0.69435626714262,0.6936782103449439,0.5486249253462138,0.5486249253462138,0.6278756467579287,0.5486249253462138,0.5438689642840615,0.058026426116773014,0.03551459779950511,0.022511828612338622,0.4600759543671958,19,0.5112897748914796,20,accuracy,28.869861602783203,28.869861602783203,0.62,84098,17,380.1608779239996,729.0730298369999,7.094508647918701,7.1641845703125,compiled,1110.9877367809986
