idx,class,support,share,precision_mean,recall_mean,f1_mean,f1_std,f1_min,f1_max,precision_pooled,recall_pooled,f1_pooled,precision_global,recall_global,f1_global
0,benign,2391136,0.22220,0.605193,0.273315,0.319755,0.203792,0.004604,0.613165,0.582908,0.273315,0.372140,0.572034,0.134716,0.218075
1,accelerationMultiplication,157490,0.01463,0.939617,0.956612,0.946277,0.029887,0.863235,0.978093,0.936192,0.956612,0.946292,0.939148,0.977795,0.958082
2,constantPositionOffset,442475,0.04112,0.608893,0.787933,0.642324,0.139288,0.341596,0.839119,0.486825,0.787933,0.601817,0.657441,0.881553,0.753179
3,constantSpeedOffset,433177,0.04025,0.799107,0.724093,0.701893,0.233593,0.006765,0.925256,0.759776,0.724093,0.741506,0.817345,0.945380,0.876713
4,dataReplay,475410,0.04418,0.364652,0.608203,0.402652,0.110814,0.263362,0.639328,0.258921,0.608203,0.363216,0.245742,0.750891,0.370298
5,dosAttack,1574090,0.14627,0.973623,0.981105,0.976699,0.020311,0.902939,0.994416,0.972851,0.981105,0.976961,0.977730,0.993969,0.985783
6,feignedBraking,118605,0.01102,0.898635,0.962935,0.927277,0.039851,0.841473,0.974388,0.890218,0.962935,0.925149,0.906295,0.971384,0.937712
7,positionMirroring,467049,0.04340,0.317132,0.248078,0.144480,0.098797,0.007812,0.320713,0.161606,0.248078,0.195716,0.356497,0.121694,0.181448
8,randomPositionOffset,470279,0.04370,0.750129,0.954016,0.822416,0.113477,0.613396,0.976412,0.695747,0.954016,0.804665,0.602869,0.976554,0.745505
9,randomSpeedOffset,542163,0.05038,0.818181,0.921494,0.849237,0.095782,0.645690,0.975692,0.779034,0.921494,0.844297,0.792337,0.975314,0.874355
10,reversedHeading,269999,0.02509,0.641509,0.912857,0.705776,0.175279,0.256008,0.959939,0.488499,0.912857,0.636426,0.399161,0.981874,0.567583
11,suddenConstantSpeed,57757,0.00537,0.651006,0.650079,0.580177,0.123001,0.340561,0.752442,0.438817,0.650079,0.523954,0.852439,0.661530,0.744948
12,suddenStop,211445,0.01965,0.856899,0.678230,0.732020,0.136621,0.249654,0.857326,0.819632,0.678230,0.742257,0.877576,0.815976,0.845655
13,timeDelayAttack,490574,0.04559,0.140959,0.278707,0.141235,0.074885,0.002254,0.251002,0.133859,0.278707,0.180855,0.134457,0.665926,0.223739
14,trafficCongestionSybil,2393335,0.22240,0.980678,0.600073,0.673851,0.322717,0.110204,0.967296,0.976224,0.600073,0.743268,0.990471,0.226534,0.368734
15,zeroSpeedReport,266359,0.02475,0.888361,0.844467,0.840539,0.149721,0.347091,0.945025,0.875103,0.844467,0.859512,0.897654,0.972867,0.933748
