cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
0,0.765582,0.764137,0.765582,0.776797,0.733269,0.765582,0.765582,0.736626,0.765582,0.763791
1,0.637922,0.595713,0.637922,0.686082,0.694992,0.637922,0.637922,0.605869,0.637922,0.633441
2,0.543252,0.627278,0.543252,0.684528,0.674740,0.543252,0.543252,0.600530,0.543252,0.546444
3,0.679864,0.706310,0.679864,0.732084,0.733063,0.679864,0.679864,0.688036,0.679864,0.663101
4,0.641806,0.691623,0.641806,0.737256,0.699723,0.641806,0.641806,0.661541,0.641806,0.652702
5,0.603634,0.668947,0.603634,0.706077,0.726986,0.603634,0.603634,0.670658,0.603634,0.606500
6,0.583115,0.589430,0.583115,0.671135,0.657410,0.583115,0.583115,0.573311,0.583115,0.588340
7,0.591719,0.677271,0.591719,0.724868,0.721163,0.591719,0.591719,0.656744,0.591719,0.584541
8,0.662579,0.695141,0.662579,0.721392,0.689770,0.662579,0.662579,0.654677,0.662579,0.665054
9,0.686155,0.751052,0.686155,0.748867,0.701637,0.686155,0.686155,0.701776,0.686155,0.698365
10,0.657851,0.683050,0.657851,0.724218,0.657440,0.657851,0.657851,0.624621,0.657851,0.653441
11,0.623977,0.605778,0.623977,0.689097,0.714432,0.623977,0.623977,0.623832,0.623977,0.609848
12,0.696584,0.736692,0.696584,0.759898,0.737564,0.696584,0.696584,0.724559,0.696584,0.716383
13,0.596059,0.645752,0.596059,0.708886,0.679717,0.596059,0.596059,0.600967,0.596059,0.598410
14,0.593195,0.661780,0.593195,0.711728,0.702443,0.593195,0.593195,0.647992,0.593195,0.595845
15,0.632184,0.696829,0.632184,0.721223,0.712473,0.632184,0.632184,0.670630,0.632184,0.622620
16,0.633844,0.616678,0.633844,0.691076,0.669350,0.633844,0.633844,0.620963,0.633844,0.646804
17,0.556389,0.636877,0.556389,0.684660,0.693728,0.556389,0.556389,0.607829,0.556389,0.532599
18,0.679705,0.705747,0.679705,0.754578,0.717694,0.679705,0.679705,0.677402,0.679705,0.686529
19,0.658102,0.670016,0.658102,0.726327,0.727594,0.658102,0.658102,0.647566,0.658102,0.620557
20,0.719127,0.670054,0.719127,0.718767,0.684085,0.719127,0.719127,0.648258,0.719127,0.702658
21,0.642157,0.639185,0.642157,0.701601,0.646296,0.642157,0.642157,0.607609,0.642157,0.638447
22,0.604204,0.652113,0.604204,0.713107,0.705610,0.604204,0.604204,0.628170,0.604204,0.598531
