round,evaluated,lr,accuracy,accuracy_std,accuracy_min,accuracy_max,precision_macro,precision_macro_std,precision_macro_min,precision_macro_max,precision_micro,precision_micro_std,precision_micro_min,precision_micro_max,precision_weighted,precision_weighted_std,precision_weighted_min,precision_weighted_max,recall_macro,recall_macro_std,recall_macro_min,recall_macro_max,recall_micro,recall_micro_std,recall_micro_min,recall_micro_max,recall_weighted,recall_weighted_std,recall_weighted_min,recall_weighted_max,f1_macro,f1_macro_std,f1_macro_min,f1_macro_max,f1_micro,f1_micro_std,f1_micro_min,f1_micro_max,f1_weighted,f1_weighted_std,f1_weighted_min,f1_weighted_max,global_accuracy,global_precision_macro,global_precision_micro,global_precision_weighted,global_recall_macro,global_recall_micro,global_recall_weighted,global_f1_macro,global_f1_micro,global_f1_weighted,loss_client_mean,ce_client_mean,kd_client_mean,gnorm_client_mean,n_selected,tau,n_selected_next,select_metric,comm_down_mib,comm_up_mib,comm_saving,steps,skipped,train_sec,eval_sec,vram_train_gb,vram_eval_gb,backend,seconds
1,100,0.001,0.4594488875598519,0.09662465600765847,0.1786738885657673,0.6259743788484393,0.4736304906758954,0.06514380215053217,0.28843794420358515,0.5964572399957364,0.4594488875598519,0.09662465600765847,0.1786738885657673,0.6259743788484393,0.6015156189470242,0.06306976919034607,0.30213872458768165,0.6962595069389952,0.4302714686765327,0.06029579248424135,0.25193688226179833,0.5429230192418948,0.4594488875598519,0.09662465600765847,0.1786738885657673,0.6259743788484393,0.4594488875598519,0.09662465600765847,0.1786738885657673,0.6259743788484393,0.3651775798109236,0.06572268895711203,0.17489183774625927,0.4853720096762263,0.4594488875598519,0.09662465600765847,0.1786738885657673,0.6259743788484393,0.4429178182256295,0.10471193929433968,0.1298148180435373,0.6200590254633876,0.44642875893835926,0.45030120684850405,0.44642875893835926,0.574125061070639,0.260600831866777,0.44642875893835926,0.4464287589383593,0.21660319996217303,0.44642875893835926,0.36955251377277903,1.2883309256910298,0.7979796409730909,0.4903513396856075,0.6117001405166724,100,0.4594488875598519,41,accuracy,151.94664001464844,151.94664001464844,0.0,168200,2,724.7351810340001,1617.484670466,7.0112128257751465,7.330869197845459,compiled,2344.879152002
2,100,0.0009989829694114164,0.4619631657498512,0.08420912903640178,0.2478628364508036,0.6162640666690022,0.4908948881887729,0.0647338498342713,0.3108396903445113,0.6231406955357655,0.4619631657498512,0.08420912903640178,0.2478628364508036,0.6162640666690022,0.6099885552742966,0.05923703628055942,0.3245950259474064,0.6907116221104581,0.443726803823142,0.05440311955557807,0.28813223727418596,0.5513768155530746,0.4619631657498512,0.08420912903640178,0.2478628364508036,0.6162640666690022,0.46196316574985125,0.08420912903640178,0.2478628364508036,0.6162640666690022,0.3771192539762422,0.05845823120484694,0.19203202699695945,0.4888013919987358,0.4619631657498512,0.08420912903640178,0.2478628364508036,0.6162640666690022,0.44713846089422965,0.09228050402255977,0.21199904119380497,0.6124469502572536,0.6161235637596534,0.5932182745077129,0.6161235637596534,0.6735448348493637,0.5831103968726596,0.6161235637596534,0.6161235637596534,0.5489326506585597,0.6161235637596534,0.6197068169723656,0.5354510727255211,0.3694436944408508,0.16600736028492835,0.6443025038090976,41,0.4619631657498512,45,accuracy,62.29812240600586,62.29812240600586,0.5900000000000001,168200,7,634.107034522,1611.9550388379998,7.1324543952941895,7.310853481292725,compiled,2249.29247984
3,100,0.0009959360568425068,0.46364383608997506,0.07502622162288042,0.3031748918327387,0.6176111104348221,0.5019603464994852,0.06271198913459886,0.3342497570195296,0.6306217988655795,0.46364383608997506,0.07502622162288042,0.3031748918327387,0.6176111104348221,0.6154969432202251,0.057624263114145785,0.33868659935769985,0.6927823877928112,0.45404703596247126,0.05211399562605609,0.31713422888654286,0.5645324990398357,0.46364383608997506,0.07502622162288042,0.3031748918327387,0.6176111104348221,0.46364383608997506,0.07502622162288042,0.3031748918327387,0.6176111104348221,0.3862724146300645,0.05300365315273352,0.2186445252629005,0.4959437843444384,0.46364383608997506,0.07502622162288042,0.3031748918327387,0.6176111104348221,0.4494300638683641,0.08543758604861937,0.2575813824345078,0.5994727685577559,0.562648453822167,0.6057943358245677,0.562648453822167,0.6792779451642579,0.6623285899562829,0.562648453822167,0.562648453822167,0.5992031841765335,0.562648453822167,0.5598808100076151,0.2929303214540424,0.20005310728158368,0.09287717689582536,0.6346641251535079,45,0.46364383608997506,43,accuracy,68.3759880065918,68.3759880065918,0.55,168200,20,613.1813878740004,1614.275418573,7.152486801147461,7.311028003692627,compiled,2230.3515202490007
4,100,0.0009908717827105773,0.45978269347980083,0.06927462170360296,0.29650945983229043,0.5948878313794106,0.508044932429125,0.05666861301658646,0.3445208022494924,0.610679023241908,0.45978269347980083,0.06927462170360296,0.29650945983229043,0.5948878313794106,0.6163004436485492,0.05294576716162409,0.342966519186489,0.6869712946761409,0.45864235825209465,0.05010510897370069,0.32878977732254666,0.5453472204568446,0.45978269347980083,0.06927462170360296,0.29650945983229043,0.5948878313794106,0.45978269347980083,0.06927462170360296,0.29650945983229043,0.5948878313794106,0.3894742363839907,0.04897955405585842,0.22548223045197152,0.48997673427030364,0.45978269347980083,0.06927462170360296,0.29650945983229043,0.5948878313794106,0.446026186319412,0.08021514225320533,0.27271627068930665,0.5852051870698753,0.5485714933535712,0.6132740299199291,0.5485714933535712,0.6882332921209902,0.681310153429749,0.5485714933535712,0.5485714933535712,0.6100563154405296,0.5485714933535712,0.5461883680975248,0.179889121705932,0.11860874697081213,0.06128037917433047,0.5999807451183439,43,0.45978269347980083,45,accuracy,65.33705520629883,65.33705520629883,0.5700000000000001,168200,27,599.3468031899993,1614.8884236539998,7.149527072906494,7.311028003692627,compiled,2217.465936896
5,100,0.0009838109572043196,0.45583362597029015,0.06453003660804515,0.29556552560400684,0.5786064062821898,0.5101101646005824,0.05404794703507486,0.35813156746854713,0.6292788015696561,0.45583362597029015,0.06453003660804515,0.29556552560400684,0.5786064062821898,0.6147257797413386,0.052146363408279696,0.37073763204973575,0.6906296915703747,0.4622912046837576,0.051916182847611445,0.33169017864795863,0.5548672780300605,0.45583362597029015,0.06453003660804515,0.29556552560400684,0.5786064062821898,0.45583362597029015,0.06453003660804515,0.2955655256040069,0.5786064062821898,0.3911960284373041,0.05036118308685536,0.2562195619141135,0.5075523749895474,0.45583362597029015,0.06453003660804515,0.29556552560400684,0.5786064062821898,0.4423161137335908,0.07715043380007996,0.2560711518047958,0.5802897309580364,0.5406398625153013,0.5994738752681731,0.5406398625153013,0.6817874316966208,0.693660291082465,0.5406398625153013,0.5406398625153013,0.6038562146724135,0.5406398625153013,0.5311964195703811,0.12284053719026304,0.077431081296287,0.04540946564052417,0.5872294507921896,45,0.45583362597029015,43,accuracy,68.3759880065918,68.3759880065918,0.55,168200,30,592.6135073160003,1607.8983701959987,7.047455787658691,7.310853481292725,compiled,2203.531289949
6,100,0.000974782594770281,0.45533547903825755,0.062129910038108034,0.303964198520575,0.5894728938572072,0.5116297186129884,0.04982686558852247,0.3839687759456236,0.6037350659181187,0.45533547903825755,0.062129910038108034,0.303964198520575,0.5894728938572072,0.6159826898090737,0.04847782788254259,0.373691454056317,0.6894001240656191,0.4651312766489062,0.05380640617584905,0.3376080875686454,0.586598738755199,0.45533547903825755,0.062129910038108034,0.303964198520575,0.5894728938572072,0.45533547903825755,0.06212991003810803,0.303964198520575,0.5894728938572071,0.393712157943638,0.050589252812463556,0.27831668324572734,0.5289314530580085,0.45533547903825755,0.062129910038108034,0.303964198520575,0.5894728938572072,0.4416548177524252,0.07522859858474554,0.255491015829701,0.5912186997228089,0.5339111484505233,0.5779670942255959,0.5339111484505233,0.6718544736380311,0.6949896314992172,0.5339111484505233,0.5339111484505232,0.591035369018613,0.5339111484505233,0.5201956914750074,0.09428642096060809,0.05693456603782669,0.037351848752751556,0.5679359006407436,43,0.45533547903825755,51,accuracy,65.33705520629883,65.33705520629883,0.5700000000000001,168200,33,583.9531368339995,1611.679503898,7.047281265258789,7.311028003692627,compiled,2198.669608209
7,100,0.0009638237948862808,0.4560501128901847,0.06052761157553059,0.32433451847041767,0.57585024471388,0.5178827340597116,0.05243309338709353,0.36198921338391754,0.6378842813162191,0.4560501128901847,0.06052761157553059,0.32433451847041767,0.57585024471388,0.6198765017591458,0.04072805108875596,0.3514579969795698,0.6874839020146633,0.47296263795740573,0.04885209158110043,0.35224058967749505,0.5662957424527032,0.4560501128901847,0.06052761157553059,0.32433451847041767,0.57585024471388,0.4560501128901847,0.0605276115755306,0.3243345184704177,0.57585024471388,0.4011267393103975,0.04792342585875469,0.2843217182406421,0.5079394587878971,0.4560501128901847,0.06052761157553059,0.32433451847041767,0.57585024471388,0.441438778569184,0.07521925593815507,0.22938631553707503,0.5887929437358257,0.55126697476328,0.6098445654592723,0.55126697476328,0.6872028142994806,0.6963587073395351,0.55126697476328,0.55126697476328,0.6123411501939229,0.55126697476328,0.5429490248533806,0.08048397037139461,0.04692487543536887,0.03355910607311444,0.5955928255146993,51,0.4560501128901847,45,accuracy,77.4927864074707,77.4927864074707,0.49,168200,44,591.0062640010001,1607.9665716479994,7.047455787658691,7.311028003692627,compiled,2201.9709469930003
8,100,0.0009509795896116975,0.4539604657151064,0.056693026514878786,0.3092257165299907,0.5628859706451137,0.5123425350622597,0.050953444983675315,0.38937094496793334,0.6245041497947266,0.4539604657151064,0.056693026514878786,0.3092257165299907,0.5628859706451137,0.6166525755016566,0.04325479523353418,0.3588967321724993,0.6815804776123839,0.4739813678590894,0.05058689945104237,0.34796875156349827,0.5630217200630947,0.4539604657151064,0.056693026514878786,0.3092257165299907,0.5628859706451137,0.4539604657151063,0.056693026514878786,0.30922571652999076,0.5628859706451137,0.39924400201983273,0.04737201796604562,0.2864356131739755,0.47567728198857157,0.4539604657151064,0.056693026514878786,0.3092257165299907,0.5628859706451137,0.440040975788073,0.07045626030166799,0.25929906627220367,0.5737173653094103,0.5335251371506325,0.580275437808363,0.5335251371506325,0.676353296416898,0.6938445147949542,0.5335251371506325,0.5335251371506327,0.5866937298891005,0.5335251371506325,0.5149471611448609,0.06766005128713458,0.038926900447890246,0.02873314812690117,0.5581912369065329,45,0.4539604657151064,44,accuracy,68.3759880065918,68.3759880065918,0.55,168200,42,582.8280666169976,1605.4073029540014,7.047455787658691,7.310853481292725,compiled,2191.0678202439976
9,100,0.0009363027585410778,0.454488417477261,0.05556691587995927,0.32329923876601646,0.5838545430621438,0.5155851499077103,0.050846790462664576,0.40069566392971,0.6269038401475704,0.454488417477261,0.05556691587995927,0.32329923876601646,0.5838545430621438,0.6172298385487661,0.04495439306459354,0.36786256786152616,0.7067510055061467,0.4750474928499225,0.05331986700754886,0.3390377276329631,0.5735220940397001,0.454488417477261,0.05556691587995927,0.32329923876601646,0.5838545430621438,0.454488417477261,0.05556691587995927,0.32329923876601646,0.5838545430621438,0.4009537254238984,0.046476441704144826,0.2805837519074379,0.4947969960552797,0.454488417477261,0.05556691587995927,0.32329923876601646,0.5838545430621438,0.4409438768410574,0.06854918230571255,0.28232674098387656,0.5777550380864434,0.545802322256618,0.5951216240265742,0.545802322256618,0.6875139037517097,0.7044469265315365,0.545802322256618,0.545802322256618,0.6055402216530454,0.545802322256618,0.5288053585768202,0.06201604089189471,0.03505412616941435,0.026961916029165013,0.5414830566859401,44,0.454488417477261,46,accuracy,66.85652160644531,66.85652160644531,0.56,168200,36,582.0656404059991,1600.8292586399984,7.047281265258789,7.311028003692627,compiled,2186.053816170999
10,100,0.0009198536119214611,0.45593511609099346,0.05314117760278179,0.3340811644048517,0.573413188298152,0.5158444246533521,0.04646594282388499,0.3918728885169992,0.6245264319739313,0.45593511609099346,0.05314117760278179,0.3340811644048517,0.573413188298152,0.618691015988756,0.03885534544619581,0.40855792150786086,0.6964587941301766,0.4798091694626336,0.05446103574995831,0.3422877661378884,0.5830171505257102,0.45593511609099346,0.05314117760278179,0.3340811644048517,0.573413188298152,0.45593511609099346,0.05314117760278179,0.3340811644048517,0.5734131882981519,0.4045042202492798,0.04900690917353037,0.2899706137778376,0.518092489354685,0.45593511609099346,0.05314117760278179,0.3340811644048517,0.573413188298152,0.44164795128992645,0.06842534746172627,0.2516490229735815,0.5727555369383821,0.542381652550244,0.5926409579653467,0.542381652550244,0.6806105713742214,0.701760937029325,0.542381652550244,0.5423816525502441,0.6037942851408741,0.542381652550244,0.5295659628007039,0.05755223990652107,0.0324597855593868,0.025092453647367327,0.5404305081352601,46,0.45593511609099346,48,accuracy,69.89545440673828,69.89545440673828,0.54,168200,40,585.6312508080009,1603.1669945840003,7.047455787658691,7.310853481292725,compiled,2191.828409222002
